Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.020000	4.707481	3.941004	6.886228	14.470000	
0.040000	3.535652	3.010341	21.095309	28.796000	
0.060000	2.941556	2.586919	31.212575	36.782000	
0.080000	2.629733	2.294022	37.002557	42.838001	
0.100000	2.479993	2.226282	40.096370	44.260001	
0.100000	2.334446	2.116602	43.314153	46.582001	
0.100000	2.255479	2.090363	44.947605	46.970001	
0.100000	2.190331	2.039567	46.294910	48.418001	
0.100000	2.143392	1.954229	47.297592	50.112001	
0.100000	2.106411	1.885646	48.177863	51.798001	
0.100000	2.076483	1.828528	48.878025	52.794001	
0.100000	2.050426	1.870227	49.199258	51.942001	
0.100000	2.032542	1.779821	49.614053	53.942001	
0.100000	2.014478	1.842057	50.018713	52.838001	
0.100000	1.992132	1.761125	50.359437	54.438001	
0.100000	1.975904	1.786575	50.831150	53.680001	
0.100000	1.970620	1.827851	50.956680	53.344001	
0.100000	1.966006	1.757978	51.174214	54.358001	
0.100000	1.959591	1.877565	51.359780	52.008001	
0.100000	1.958593	1.706180	51.206961	56.044001	
0.100000	1.941887	1.805881	51.602264	53.718001	
0.100000	1.939037	1.804840	51.805763	53.440001	
0.100000	1.926926	1.724786	51.991330	55.158001	
0.100000	1.936461	1.706281	51.745727	55.746001	
0.100000	1.922286	1.720888	51.974177	55.272001	
0.100000	1.911332	1.797160	52.075536	53.472001	
0.100000	1.906768	1.775080	52.329716	54.136001	
0.100000	1.913879	1.732702	52.142590	54.684001	
0.100000	1.908225	1.700497	52.321919	55.950001	
0.100000	1.900374	1.680796	52.343750	56.192001	
0.010000	1.457520	1.144967	63.144024	69.600002	
0.010000	1.349665	1.107541	65.869823	70.506002	
0.010000	1.308555	1.081994	66.712668	70.936001	
0.010000	1.293506	1.074936	67.189059	71.426002	
0.010000	1.270122	1.068172	67.752776	71.280002	
0.010000	1.249769	1.050173	68.058414	71.870002	
0.010000	1.245762	1.045253	68.258795	71.730002	
0.010000	1.240672	1.052157	68.322730	71.696002	
0.010000	1.235610	1.053226	68.327408	71.746002	
0.010000	1.234585	1.056818	68.396020	71.702002	
0.010000	1.240977	1.046258	68.174588	71.862001	
0.010000	1.234072	1.053225	68.442022	71.798002	
0.010000	1.230381	1.077813	68.392902	70.964002	
0.010000	1.226783	1.072469	68.444361	71.012002	
0.010000	1.225800	1.060710	68.581587	71.454001	
0.010000	1.220042	1.061442	68.755458	71.318002	
0.010000	1.218196	1.054783	68.726609	71.852002	
0.010000	1.223086	1.053304	68.757797	71.768002	
0.010000	1.225143	1.082568	68.448260	70.916002	
0.010000	1.218883	1.061149	68.852919	71.586002	
0.010000	1.214141	1.050853	68.729728	71.740002	
0.010000	1.207125	1.057646	69.002620	71.396002	
0.010000	1.210432	1.045095	69.011976	71.812002	
0.010000	1.206648	1.045659	68.906718	71.628002	
0.010000	1.206135	1.053430	68.997162	71.546003	
0.010000	1.199632	1.038369	69.013535	72.030002	
0.010000	1.192500	1.057116	69.319174	71.436002	
0.010000	1.199333	1.057252	69.176491	71.540001	
0.010000	1.190880	1.019004	69.450162	72.414002	
0.010000	1.197711	1.048360	69.088386	71.602002	
0.001000	1.032876	0.897517	73.470247	75.820002	
0.001000	0.991342	0.883330	74.291261	76.092002	
0.001000	0.970890	0.874488	74.990644	76.402002	
0.001000	0.956934	0.870291	75.493544	76.376002	
0.001000	0.943382	0.863916	75.718095	76.546001	
0.001000	0.935033	0.863346	75.992546	76.506002	
0.001000	0.929195	0.857780	75.959799	76.694002	
0.001000	0.923632	0.855680	76.198384	76.674002	
0.001000	0.915554	0.853805	76.450225	76.848002	
0.001000	0.910144	0.851184	76.730913	76.764002	
0.001000	0.910114	0.851019	76.670097	76.840002	
0.001000	0.908762	0.850485	76.675555	76.854002	
0.001000	0.906368	0.843087	76.674775	77.074002	
0.001000	0.894493	0.845725	77.042010	77.086002	
0.001000	0.887362	0.844261	77.129335	77.100002	
0.001000	0.885374	0.844021	77.364802	77.056002	
0.001000	0.882001	0.842395	77.346089	77.144002	
0.001000	0.880187	0.842212	77.263442	77.112002	
0.001000	0.872428	0.843053	77.518401	77.048002	
0.001000	0.877062	0.840702	77.578437	77.130001	
0.001000	0.872385	0.841367	77.721120	77.180002	
0.001000	0.862264	0.843581	77.787394	76.996003	
0.001000	0.862508	0.841334	77.804547	77.062001	
0.001000	0.871910	0.843984	77.592471	77.034002	
0.001000	0.858719	0.843673	77.940993	77.050002	
0.001000	0.852339	0.841412	78.041573	77.106002	
0.001000	0.864496	0.841009	77.856007	77.148002	
0.001000	0.849825	0.840096	78.340195	77.136002	
0.001000	0.846051	0.837648	78.325380	77.088002	
0.001000	0.842018	0.842620	78.446233	77.084002	
0.000100	0.822924	0.825672	79.010729	77.562002	
0.000100	0.815045	0.824557	79.185379	77.642002	
0.000100	0.810920	0.823875	79.349114	77.604002	
0.000100	0.811752	0.823068	79.424744	77.604002	
0.000100	0.807689	0.821783	79.368607	77.678002	
0.000100	0.806508	0.822333	79.533901	77.708002	
0.000100	0.801914	0.821723	79.626684	77.756002	
0.000100	0.802890	0.821115	79.575225	77.624002	
0.000100	0.800812	0.821519	79.638379	77.586002	
0.000100	0.803315	0.820596	79.636820	77.638002	
